world,tag,band,greedy,nohedge,bound,pas,churn,breaches
GARCH,202003,0.6,-19.23,-49.94,845.94,True,125.0,0
GARCH,202004,0.6,9.08,135.4,628.43,True,175.0,0
GARCH,202005,0.6,96.98,169.58,746.71,True,75.0,0
GARCH,202006,0.6,129.74,87.3,751.38,True,50.0,0
GARCH,202007,0.6,62.43,62.96,699.5,True,312.5,0
GARCH,202008,0.6,-11.36,1.36,637.15,True,262.5,0
GARCH,202009,0.6,22.96,89.72,605.54,True,300.0,0
GARCH,202010,0.6,11.17,210.46,625.76,True,150.0,0
GARCH,202011,0.6,110.62,352.15,685.55,True,150.0,0
GARCH,202012,0.6,21.57,213.82,708.43,True,281.2,0
GARCH,202101,0.6,11.45,142.05,758.24,True,450.0,0
GARCH,202102,0.6,162.95,123.87,765.09,True,212.5,0
GARCH,202103,0.6,39.42,-73.18,751.02,True,162.5,0
GARCH,202104,0.6,87.23,-84.43,765.31,True,400.0,0
GARCH,202105,0.6,-81.43,-198.15,768.28,True,143.8,0
GARCH,202106,0.6,-55.97,-196.08,808.98,True,225.0,0
GARCH,202107,0.6,-7.22,-35.61,691.04,True,450.0,0
GARCH,202108,0.6,76.71,-5.65,730.94,True,125.0,0
GARCH,202109,0.6,-14.9,-54.74,631.75,True,225.0,0
GARCH,202110,0.6,-5.77,34.96,605.85,True,325.0,0
GARCH,202111,0.6,-38.55,37.89,607.29,True,175.0,0
GARCH,202112,0.6,151.0,108.13,649.35,True,325.0,0
GARCH,202201,0.6,18.09,14.59,657.46,True,343.8,0
GARCH,202202,0.6,-61.34,-53.3,671.06,True,150.0,0
GARCH,202203,0.6,16.72,-99.72,764.6,True,425.0,0
GARCH,202204,0.6,-50.35,-115.68,647.84,True,387.5,0
GARCH,202205,0.6,90.37,-0.87,687.6,True,162.5,0
GARCH,202206,0.6,20.72,-74.35,661.69,True,450.0,0
GARCH,202207,0.6,-44.61,10.84,619.8,True,393.8,0
GARCH,202208,0.6,50.62,99.31,636.88,True,250.0,0
GARCH,202209,0.6,-5.17,167.5,608.84,True,275.0,0
GARCH,202210,0.6,103.5,207.83,675.46,True,250.0,0
GARCH,202211,0.6,81.57,43.84,654.87,True,325.0,0
GARCH,202212,0.6,-3.95,-59.89,678.57,True,300.0,0
GARCH,202301,0.6,0.94,24.47,607.03,True,275.0,0
GARCH,202302,0.6,-6.45,61.45,625.74,True,337.5,0
GARCH,202303,0.6,121.49,12.24,594.21,True,100.0,0
GARCH,202304,0.6,60.26,-41.09,580.73,True,250.0,0
GARCH,202305,0.6,25.71,-141.85,590.67,True,437.5,0
GARCH,202306,0.6,8.92,-80.88,559.36,True,250.0,0
GARCH,202307,0.6,-3.17,-10.19,456.39,True,262.5,0
GARCH,202308,0.6,48.22,-28.36,535.92,True,275.0,0
GARCH,202309,0.6,-34.21,-32.55,548.63,True,250.0,0
GARCH,202310,0.6,30.73,21.05,516.71,True,250.0,0
GARCH,202311,0.6,-3.86,-30.98,568.83,True,150.0,0
GARCH,202312,0.6,32.01,-24.23,526.54,True,312.5,0
HMM,202001,0.15,19.91,-194.35,810.1,True,81.2,0
HMM,202002,0.15,-27.51,-172.13,892.94,True,162.5,0
HMM,202003,0.15,-38.43,-49.94,845.94,True,81.2,0
HMM,202004,0.15,-17.29,135.4,628.43,True,231.2,0
HMM,202005,0.15,72.68,169.58,746.71,True,131.2,0
HMM,202006,0.15,89.05,87.3,751.38,True,37.5,0
HMM,202007,0.15,34.12,62.96,699.5,True,243.8,0
