tag,trade_date,calib_date,stale_days,h_trade,sigma_trade,h_ratio,lr_vol,H0_logged,h_ratio_logged,rv20,rv60,rv120,basis_sigma,nu
202301,2023-01-02,2023-01-02,0,0.00048144,0.3483143407900398,1.76789202064313,0.2593,0.00048144,1.76789202064313,0.375785018017683,0.3701339043013303,0.3367203265912592,9.86,7.82
202302,2023-02-01,2023-01-02,30,0.0003339253695819938,0.29008480335009357,1.2262047116448882,0.2593,0.00048144,1.76789202064313,0.22921500399152542,0.3206689137867097,0.3287929604641776,9.86,7.82
202303,2023-03-01,2023-03-01,0,0.00043379,0.3306283109475049,1.6357589099173138,0.2582,0.00043379,1.6357589099173138,0.375870597222226,0.3284109261865102,0.3438415143649949,9.908,7.81
202304,2023-04-03,2023-04-03,0,0.00035124,0.29751047040398426,1.3580212154258007,0.2549,0.00035124,1.3580212154258007,0.2975927240936513,0.2988329883671674,0.33701229809458594,9.888,7.78
202305,2023-05-01,2023-04-03,28,0.00040137016088912035,0.3180334582147896,1.5518425968747647,0.2549,0.00035124,1.3580212154258007,0.31447437894199987,0.3312757803476964,0.33137624137336097,9.888,7.78
202306,2023-06-01,2023-06-01,0,0.00033857,0.2920952584346415,1.2861701454107786,0.2562,0.00033857,1.2861701454107786,0.27469177565179637,0.30284095125051375,0.31006010281188545,9.877,7.91
202307,2023-07-03,2023-07-03,0,0.00027907,0.2651898188090938,1.0878359525665826,0.2525,0.00027907,1.0878359525665826,0.22923256398944303,0.27994889271931533,0.2993680498817118,9.857,8.0
202308,2023-08-01,2023-07-03,29,0.0002897908911676752,0.27023564637969977,1.129626796640652,0.2525,0.00027907,1.0878359525665826,0.2563887227498259,0.26680927911003216,0.2936496396834765,9.857,8.0
202309,2023-09-01,2023-09-01,0,0.00022518,0.238212846001218,0.900313704584601,0.2506,0.00022518,0.900313704584601,0.19913983616884662,0.2344028762047046,0.27523456671762314,9.824,8.04
202310,2023-10-02,2023-10-02,0,0.00025497,0.2534806501490794,0.9957928767480088,0.2542,0.00025497,0.9957928767480088,0.26441962414529935,0.2452721110719481,0.26054860405652885,9.821,8.11
202311,2023-11-01,2023-10-02,30,0.00023897381951374855,0.24540049412636608,0.9333193207085348,0.2542,0.00025497,0.9957928767480088,0.22325719445277614,0.24308968948767412,0.24831137125711272,9.821,8.11
202312,2023-12-01,2023-12-01,0,0.00029938,0.2746702750572038,1.1504501537110425,0.2555,0.00029938,1.1504501537110425,0.3145508404900167,0.2704488371142409,0.2576314218974937,9.787,8.21
