param_set,h_state,n,z,barrier_logret,barrier,p_surv_true,p_surv_bridge,p_surv_varmatch,p_surv_edgeworth,p_surv_mc,mc_se,p_ko_true,p_ko_bridge,p_ko_varmatch,p_ko_edgeworth,abs_err_bridge,rel_err_bridge,rel_err_varmatch,rel_err_edgeworth,mc_z
A_equity_psi095,neutral,21,1.5,0.0874358737117772,UP,0.942155933657062,0.9331927987311419,0.9326431452765171,0.942125872865577,0.9421335,5.221013833713168e-05,0.05784406634293804,0.06680720126885809,0.06735685472348285,0.05787412713442297,0.008963134925920047,0.15495340304709268,0.16445573387158996,0.0005196866919194656,0.42968009234424004
A_equity_psi095,neutral,21,2.0,0.1163033871712585,UP,0.9850896515043976,0.9772498680518208,0.9769436066151042,0.9853581967896533,0.9851009,2.708977441124776e-05,0.014910348495602355,0.02275013194817921,0.023056393384895846,0.014641803210346693,0.007839783452576854,0.5257947830588341,0.5463349761205165,-0.018010664561922605,-0.4152303164854067
A_equity_psi095,neutral,21,2.5,0.14517090063073979,UP,0.9974687193750351,0.9937903346742238,0.9936656534709256,0.9977028725792298,0.9974837999999999,1.12023856009634e-05,0.0025312806249648823,0.006209665325776159,0.006334346529074386,0.002297127420770151,0.003678384700811277,1.4531714360442787,1.5024276117794193,-0.09250385037730849,-1.3461976316460535
A_equity_psi095,neutral,21,3.0,0.17403841409022106,UP,0.9997342347712462,0.9986501019683699,0.9986121253845076,0.9997377765285074,0.99973875,3.6137360272755667e-06,0.00026576522875376707,0.0013498980316301035,0.0013878746154923904,0.0002622234714926286,0.0010841328028763364,4.079287602671271,4.222182834076702,-0.013326638995426809,-1.2494628051680052
A_equity_psi095,neutral,63,-3.0,-0.29750000000000004,DOWN,0.003989666380416423,0.0013498980316300957,0.001421478082498104,0.004101301675655841,0.0039597,1.4042829083042791e-05,0.003989666380416423,0.0013498980316300957,0.001421478082498104,0.004101301675655841,-0.0026397683487863277,-0.6616514006644336,-0.6437100381436563,0.027981110347318233,2.133927589605775
A_equity_psi095,neutral,63,-2.5,-0.2475,DOWN,0.011721235737743085,0.006209665325776139,0.00644387816381852,0.011981769107966493,0.011690299999999999,2.4035013484073466e-05,0.011721235737743085,0.006209665325776139,0.00644387816381852,0.011981769107966493,-0.005511570411966946,-0.47022093363580747,-0.45023900994765903,0.022227466118139288,1.287111312152399
A_equity_psi095,neutral,63,-2.0,-0.1975,DOWN,0.03122472968334533,0.02275013194817922,0.023323860194335484,0.03139985723504868,0.0312553,3.890912986423005e-05,0.03122472968334533,0.02275013194817922,0.023323860194335484,0.03139985723504868,-0.008474597735166112,-0.2714066005089005,-0.2530324383632381,0.005608617063441112,-0.7856849217996076
A_equity_psi095,neutral,63,-1.5,-0.14750000000000002,DOWN,0.07462803697945986,0.06680720126885809,0.06783468580297643,0.07453877466330264,0.07463215,5.876316688176669e-05,0.07462803697945986,0.06680720126885809,0.06783468580297643,0.07453877466330264,-0.00782083571060177,-0.1047975536694651,-0.09102947700946745,-0.001196096263148207,-0.06999317358805035
A_equity_psi095,neutral,63,-1.0,-0.0975,DOWN,0.158281844826907,0.15865525393145707,0.1599307862606067,0.1580924304422295,0.1583193,8.162545739848116e-05,0.158281844826907,0.15865525393145707,0.1599307862606067,0.1580924304422295,0.00037340910455008203,0.002359140462119536,0.010417754705240785,-0.0011966905293820775,-0.4588663180183403
A_equity_psi095,neutral,63,-0.5,-0.0475,DOWN,0.29487821071118625,0.3085375387259869,0.3094636574887296,0.29477649645739484,0.29477985,0.0001019521212207506,0.29487821071118625,0.3085375387259869,0.3094636574887296,0.29477649645739484,0.013659328014800631,0.04632193060944419,0.04946261286097143,-0.0003449364859685401,0.9647735624182475
