world,tag,greedy,nohedge,bound,churn,H_exact,H_fwd,recon,H_ramp,ramp_pnl,gap_vs_ramp,gap_pre,gap_avg,gap_post,gap_overshort,gap_undercover,u_post_max,u_post_mean,u_pre_mean,u_mean,dev_mean,basis0,basis_avg,basis_move,P0,dP_pct,vs_nohedge,vs_ramp,mech
hmm,202209,-7.03,167.5,608.84,443.8,-174.53,-170.78,-3.75,-218.74,-51.24,47.96,52.25,-4.42,0.13,-17.76,65.72,0.125,0.125,0.83,0.766,0.084,42.87,-10.53,-53.4,803.6,26.92,-174.53,44.21,over-short+basis
hmm,202210,139.67,207.83,675.46,150.0,-68.16,-64.9,-3.26,-157.6,50.23,92.7,13.93,57.38,21.4,78.78,13.93,1.0,1.0,0.672,0.762,0.082,-44.84,4.66,49.51,915.3,14.87,-68.16,89.44,OVER-HOLD(post-fixing)+basis
hmm,202211,-5.4,43.84,654.87,300.0,-49.24,-79.47,30.23,-9.2,34.64,-70.27,-46.25,-6.82,-17.21,-24.03,-46.25,1.0,1.0,0.541,0.663,0.191,-22.31,7.99,30.31,955.8,-0.36,-49.24,-40.04,OVER-HOLD(post-fixing)+over-short+under-cover+basis
hmm,202212,-20.15,-59.89,678.57,225.0,39.74,26.72,13.02,70.29,10.4,-43.57,-16.26,5.27,-32.59,-44.0,0.43,1.0,1.0,0.448,0.587,0.251,-16.6,-3.83,12.77,1054.6,-7.66,39.74,-30.55,OVER-HOLD(post-fixing)+over-short+basis
hmm,202301,-10.28,24.47,607.03,212.5,-34.75,-8.59,-26.16,36.86,61.33,-45.45,-69.16,-15.88,39.6,11.84,-57.29,1.0,1.0,0.867,0.881,-0.044,-48.22,-2.76,45.46,1070.7,-1.86,-34.75,-71.61,OVER-HOLD(post-fixing)+under-cover+basis
hmm,202302,-24.43,61.45,625.74,250.0,-85.88,-89.15,3.27,-54.87,6.58,-34.29,24.23,-58.51,0.0,-7.39,-26.9,0.0,0.0,0.552,0.422,0.435,4.83,-0.89,-5.72,996.2,6.38,-85.88,-31.01,under-cover
hmm,202303,154.02,12.24,594.21,87.5,141.78,136.23,5.55,-1.62,10.62,137.84,75.1,62.74,0.0,62.74,75.1,1.0,1.0,0.517,0.639,0.225,3.64,0.53,-3.11,958.9,1.27,141.78,143.4,OVER-HOLD(post-fixing)
hmm,202304,123.51,-41.09,580.73,150.0,164.6,169.91,-5.31,46.02,4.93,123.89,94.8,17.18,11.91,29.09,94.8,1.0,1.0,0.683,0.77,0.07,4.02,2.02,-2.01,984.5,-4.05,164.6,118.58,OVER-HOLD(post-fixing)
hmm,202305,60.96,-141.85,590.67,400.0,202.81,137.36,65.45,165.21,23.36,-27.85,-4.85,-23.0,0.0,-18.69,-9.16,1.0,1.0,0.873,0.839,0.017,-13.84,1.74,15.59,1084.3,-14.81,202.81,37.6,OVER-HOLD(post-fixing)+over-short+basis
hmm,202306,18.72,-80.88,559.36,187.5,99.6,107.13,-7.53,97.06,16.18,10.07,-43.8,41.27,12.59,53.87,-43.8,1.0,1.0,0.506,0.636,0.203,-1.76,4.6,6.36,1006.3,-8.63,99.6,2.54,OVER-HOLD(post-fixing)+under-cover
hmm,202307,14.82,-10.19,456.39,225.0,25.01,6.97,18.04,22.78,12.59,-15.81,14.05,-15.96,-13.9,-29.86,14.05,1.0,1.0,0.667,0.737,0.11,-2.94,5.67,8.6,907.4,-2.34,25.01,2.23,OVER-HOLD(post-fixing)+over-short
